                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                   1.36,                 1.3168,                    1.8,                0.86341,                0.70604,                0.79817,                0.49036,                 1.3788,                 1.1467,                 1.9113,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.3491,                 1.2547,                 1.7806,                0.86667,                 0.7209,                0.81474,                0.49389,                  1.377,                 1.0859,                 1.9136,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.3296,                 1.2558,                 1.7757,                0.84024,                0.72693,                0.80016,                0.49258,                 1.3938,                 1.0669,                 1.9148,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.3312,                 1.2672,                 1.7685,                0.74145,                0.75506,                0.78962,                0.46955,                 1.4572,                  1.137,                 1.9911,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2879,                 1.2116,                 1.7457,                0.86874,                 0.7175,                0.83396,                0.50932,                 1.3683,                 1.0799,                  1.901,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2869,                 1.1943,                 1.7294,                0.79919,                0.72062,                0.79704,                0.47997,                 1.4498,                 1.0414,                 1.9769,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.325,                 1.2194,                 1.7583,                0.82163,                0.71072,                0.77989,                0.45423,                 1.4656,                 1.1421,                 1.9903,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.3083,                 1.2211,                 1.7476,                0.81005,                0.74086,                0.80455,                 0.4897,                 1.4113,                 1.1022,                 1.9269,             0.00075932,             0.00075932,             0.00075932
                     57,                   1.31,                 1.2384,                 1.7492,                0.84062,                  0.726,                0.82809,                0.49318,                 1.4104,                 1.0675,                 1.9248,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3048,                 1.2019,                 1.7464,                0.81225,                0.72579,                0.79531,                0.48464,                  1.417,                 1.0418,                 1.9569,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2955,                 1.2007,                 1.7424,                 0.8114,                0.73992,                 0.8089,                0.49913,                 1.3774,                 1.0624,                 1.9165,             0.00070981,             0.00070981,             0.00070981
                     60,                  1.267,                 1.1831,                  1.728,                0.84151,                0.72164,                0.80991,                 0.4939,                 1.3375,                  1.021,                 1.8795,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2537,                  1.121,                 1.7093,                0.84828,                0.73981,                 0.8233,                0.51446,                 1.3495,                 1.0002,                 1.9044,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2859,                 1.1616,                 1.7096,                0.88346,                0.69474,                  0.836,                0.51703,                 1.3472,                 0.9975,                 1.8693,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2751,                 1.1328,                 1.7053,                 0.8383,                0.72107,                0.81187,                0.50205,                 1.4008,                 1.0005,                 1.9172,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.2707,                 1.1508,                 1.7135,                 0.8502,                0.73465,                0.82539,                 0.4988,                 1.3863,                0.99637,                 1.9021,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.2505,                 1.1837,                 1.6981,                0.84358,                0.68661,                0.80073,                0.47707,                 1.4074,                 1.0919,                 1.9136,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.2569,                 1.1436,                 1.7167,                0.79817,                0.74129,                0.80669,                0.50531,                 1.3554,                 1.0135,                 1.8823,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2556,                 1.1394,                 1.6847,                0.84312,                0.73271,                0.81392,                0.48343,                 1.4311,                 1.0347,                 1.9552,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2625,                 1.1445,                 1.7123,                0.86426,                 0.7441,                0.82122,                0.50687,                 1.3912,                 1.0171,                 1.9261,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2663,                  1.142,                 1.7098,                0.78744,                 0.7728,                0.80493,                0.51387,                 1.3253,                0.98442,                 1.8483,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.2093,                 1.1123,                 1.6735,                0.80897,                0.74799,                  0.811,                0.49998,                 1.3774,                0.98081,                 1.9054,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2011,                 1.0874,                 1.6589,                0.85582,                0.73779,                0.82897,                0.51821,                  1.348,                 1.0057,                 1.8567,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2613,                  1.112,                 1.7058,                0.85338,                0.73039,                 0.8311,                0.52169,                 1.3534,                0.97576,                 1.8686,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2131,                 1.0679,                 1.6678,                0.87874,                0.69947,                 0.8117,                0.50014,                 1.3978,                0.98518,                 1.9148,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2193,                 1.0845,                  1.655,                0.84493,                0.73695,                0.82575,                0.49239,                 1.4066,                   1.02,                 1.9218,             0.00046226,             0.00046226,             0.00046226
